Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1958,,,"315,71","317,45","317,5","317,1","315,86","314,93","313,2","312,66","313,33","314,67"
1959,"315,62","316,38","316,71","317,72","318,29","318,15","316,54","314,8","313,84","313,26","314,8","315,58"
1960,"316,43","316,97","317,58","319,02","320,03","319,59","318,18","315,91","314,16","313,83",315,"316,19"
1961,"316,93","317,7","318,54","319,48","320,58","319,77","318,57","316,79","314,8","315,38","316,1","317,01"
1962,"317,94","318,56","319,68","320,63","321,01","320,55","319,58","317,4","316,26","315,42","316,69","317,69"
1963,"318,74","319,08","319,86","321,39","322,25","321,47","319,74","317,77","316,21","315,99","317,12","318,31"
1964,"319,57","320,07","320,73","321,77","322,25","321,89","320,44","318,7","316,7","316,79","317,79","318,71"
1965,"319,44","320,44","320,89","322,13","322,16","321,87","321,39","318,81","317,81","317,3","318,87","319,42"
1966,"320,62","321,59","322,39","323,87","324,01","323,75","322,39","320,37","318,64","318,1","319,79","321,08"
1967,"322,07","322,5","323,04","324,42",325,"324,09","322,55","320,92","319,31","319,31","320,72","321,96"
1968,"322,57","323,15","323,89","325,02","325,57","325,36","324,14","322,03","320,41","320,25","321,31","322,84"
1969,324,"324,42","325,64","326,66","327,34","326,76","325,88","323,67","322,38","321,78","322,85","324,11"
1970,"325,03","325,99","326,87","328,13","328,07","327,66","326,35","324,69","323,1","323,16","323,98","325,13"
1971,"326,17","326,68","327,18","327,78","328,92","328,57","327,34","325,46","323,36","323,57","324,8","326,01"
1972,"326,77","327,63","327,75","329,72","330,07","329,09","328,05","326,32","324,93","325,06","326,5","327,55"
1973,"328,54","329,56","330,3","331,5","332,48","332,07","330,87","329,31","327,51","327,18","328,16","328,64"
1974,"329,35","330,71","331,48","332,65","333,19","332,12","330,99","329,17","327,41","327,21","328,34","329,5"
1975,"330,68","331,41","331,85","333,29","333,91","333,4","331,74","329,88","328,57","328,36","329,33","330,59"
1976,"331,66","332,75","333,46","334,78","334,78","334,06","332,95","330,64","328,96","328,77","330,18","331,65"
1977,"332,69","333,23","334,97","336,03","336,82","336,1","334,79","332,53","331,19","331,21","332,35","333,47"
1978,"335,1","335,26","336,61","337,77","338,01","337,98","336,48","334,37","332,33","332,41","333,76","334,83"
1979,"336,21","336,65","338,13","338,94",339,"339,2","337,6","335,56","333,93","334,12","335,26","336,78"
1980,"337,8","338,28","340,04","340,86","341,47","341,26","339,34","337,45","336,1","336,05","337,21","338,29"
1981,"339,36","340,51","341,57","342,56","343,01","342,49","340,68","338,49","336,92","337,12","338,59","339,9"
1982,"340,92","341,69","342,85","343,92","344,67","343,78","342,23","340,11","338,32","338,39","339,48","340,88"
1983,"341,64","342,87","343,59","345,25","345,96","345,52","344,15","342,25","340,17","340,3","341,53","343,07"
1984,"344,05","344,77","345,46","346,77","347,55","346,98","345,55","343,2","341,35","341,68","343,06","344,54"
1985,"345,25","346,06","347,66","348,2","348,92","348,4","346,66","344,85","343,2","343,08","344,4","345,82"
1986,"346,54","347,13","348,05","349,77","350,53","349,9","348,11","346,09","345,01","344,47","345,86","347,15"
1987,"348,38","348,7","349,72","351,32","352,14","351,61","349,91","347,84","346,52","346,65","347,96","349,18"
